,Race,Ethinicity,Mailing City
0,White,Hispanic or Latino,Provo
1,White,Hispanic or Latino,Provo
2,White,Hispanic or Latino,Provo
3,White,Hispanic or Latino,Provo
4,White,Hispanic or Latino,Provo
5,White,Hispanic or Latino,Provo
6,White,Hispanic or Latino,Provo
7,White,Hispanic or Latino,Provo
8,White,Hispanic or Latino,Provo
9,White,Hispanic or Latino,Orem
10,White,Hispanic or Latino,Orem
11,White,Hispanic or Latino,Payson
12,White,Hispanic or Latino,Murray
13,White,Hispanic or Latino,Taylorsville
14,White,Hispanic or Latino,Taylorsville
15,White,Hispanic or Latino,Taylorsville
16,White,Hispanic or Latino,Springville
17,White,No Hispanic or Latino,Provo
18,White,No Hispanic or Latino,Provo
19,White,No Hispanic or Latino,Provo
20,White,No Hispanic or Latino,Provo
21,White,No Hispanic or Latino,Orem
22,White,No Hispanic or Latino,Orem
23,White,No Hispanic or Latino,Orem
24,White,No Hispanic or Latino,Salt Lake City
25,White,No Hispanic or Latino,Salt Lake City
26,White,No Hispanic or Latino,West Valley City
27,White,No Hispanic or Latino,West Valley City
28,White,No Hispanic or Latino,West Valley City
29,White,No Hispanic or Latino,Millcreek
30,White,No Hispanic or Latino,Millcreek
31,White,No Hispanic or Latino,Kearns
32,White,No Hispanic or Latino,South Salt Lake
33,White,No Hispanic or Latino,Sandy
34,White,No Hispanic or Latino,Sandy
35,White,No Hispanic or Latino,Syracus
36,White,No Hispanic or Latino,Midvale
37,White,No Hispanic or Latino,Magna
38,Asian,No Hispanic or Latino,Provo
39,Asian,No Hispanic or Latino,Provo
40,Asian,No Hispanic or Latino,Provo
41,Asian,No Hispanic or Latino,Provo
42,Asian,No Hispanic or Latino,Salt Lake City
43,Asian,No Hispanic or Latino,Millcreek
44,Asian,No Hispanic or Latino,Midvale
45,Black or African American,Hispanic or Latino,Salt Lake City
46,Black or African American,No Hispanic or Latino,Murray
47,Black or African American,No Hispanic or Latino,Salt Lake City
48,Black or African American,No Hispanic or Latino,Salt Lake City
49,Black or African American,No Hispanic or Latino,Salt Lake City
50,Black or African American,No Hispanic or Latino,Salt Lake City
51,Black or African American,No Hispanic or Latino,West Valley City
52,Black or African American,No Hispanic or Latino,West Valley City
53,Black or African American,No Hispanic or Latino,West Jordan
54,Native Hawaiian or Other Pacific Islander,No Hispanic or Latino,West Valley City
55,Native Hawaiian or Other Pacific Islander,No Hispanic or Latino,Glendale
56,Two or more races,Hispanic or Latino,Orem
57,Two or more races,Hispanic or Latino,South Salt Lake
