,NAME,Population
0,California,39431263.0
1,Texas,31290831.0
2,Florida,23372215.0
3,New York,19867248.0
4,Pennsylvania,13078751.0
5,Illinois,12710158.0
6,Ohio,11883304.0
7,Georgia,11180878.0
8,North Carolina,11046024.0
9,Michigan,10140459.0
10,New Jersey,9500851.0
11,Virginia,8811195.0
12,Washington,7958180.0
13,Arizona,7582384.0
14,Tennessee,7227750.0
15,Massachusetts,7136171.0
16,Indiana,6924275.0
17,Maryland,6263220.0
18,Missouri,6245466.0
19,Wisconsin,5960975.0
20,Colorado,5957493.0
21,Minnesota,5793151.0
22,South Carolina,5478831.0
23,Alabama,5157699.0
24,Louisiana,4597740.0
25,Kentucky,4588372.0
26,Oregon,4272371.0
27,Oklahoma,4095393.0
28,Connecticut,3675069.0
29,Utah,3503613.0
30,Nevada,3267467.0
31,Iowa,3241488.0
32,Puerto Rico,3203295.0
33,Arkansas,3088354.0
34,Kansas,2970606.0
35,Mississippi,2943045.0
36,New Mexico,2130256.0
37,Nebraska,2005465.0
38,Idaho,2001619.0
39,West Virginia,1769979.0
40,Hawaii,1446146.0
41,New Hampshire,1409032.0
42,Maine,1405012.0
43,Montana,1137233.0
44,Rhode Island,1112308.0
45,Delaware,1051917.0
46,South Dakota,924669.0
47,North Dakota,796568.0
48,Alaska,740133.0
49,District of Columbia,702250.0
50,Vermont,648493.0
51,Wyoming,587618.0
52,Guam[11],172952.0
53,U.S. Virgin Islands[12],
54,American Samoa[13],
55,Northern Mariana Islands[14],
56,Contiguous United States,337924709.0
57,The 50 states,339408738.0
58,The 50 states and D.C.,340110988.0
59,Total US and territories,
